:IngredientName,IngredientType,Unit,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"EDIT","TEST","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_LAYER_NAME",Message,"EDIT_LAYER_NAME","TEST_LAYERNAME","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_LAYER_ReadOnly",Analog,"EDIT_LAYER_ReadOnly","TEST_LAYER_ReadOnly","0","1","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_HtPrSl",Analog,"EDIT_PRE_HtPrSl","","0","0","2","2","1","2","2","2","1","1","1","1","1"
"EDIT_PRE_HtCtrlMode",Analog,"EDIT_PRE_HtCtrlMode","","0","0","2","2","2","2","2","2","2","2","2","2","2"
"EDIT_PRE_HtPwrRatio",Analog,"EDIT_PRE_HtPwrRatio","","0","0","100","100","100","100","100","100","100","100","100","100","100"
"EDIT_PRE_HtPwrRatioCirc1",Analog,"EDIT_PRE_HtPwrRatioCirc1","","0","0","30","30","30","45","40","1","30","30","30","30","30"
"EDIT_PRE_HtPwrRatioCirc2",Analog,"EDIT_PRE_HtPwrRatioCirc2","","0","0","30","30","30","45","40","1","30","30","30","30","30"
"EDIT_PRE_Ht1PwrRatio",Analog,"EDIT_PRE_Ht1PwrRatio","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_Ht1PwrRatioCirc1",Analog,"EDIT_PRE_Ht1PwrRatioCirc1","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_Ht1PwrRatioCirc2",Analog,"EDIT_PRE_Ht1PwrRatioCirc2","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_Ht1PwrRatioCirc3",Analog,"EDIT_PRE_Ht1PwrRatioCirc3","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_Ht2PwrRatio",Analog,"EDIT_PRE_Ht2PwrRatio","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_Ht2PwrRatioCirc1",Analog,"EDIT_PRE_Ht2PwrRatioCirc1","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_Ht2PwrRatioCirc2",Analog,"EDIT_PRE_Ht2PwrRatioCirc2","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_Ht2PwrRatioCirc3",Analog,"EDIT_PRE_Ht2PwrRatioCirc3","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_Ht_StVal",Analog,"EDIT_PRE_Ht_StVal","","0","0","0","0","0","100","0","0","0","0","0","0","0"
