:IngredientName,IngredientType,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"PREVIEW","INIT","---","Konditionieren Heat PBS","Nb_SL","Ta-Si_DST","TEST","ttt","TEST!MQ","TESTMATFILE","TEST1","TEST123","Test200"
"EDIT_RECIPE_NAME",Message,"EDIT_RECIPE_NAME","INIT","---","Konditionieren Heat PBS","Nb_SL","Ta-Si_DST","TEST","ttt","TEST!MQ","TESTMATFILE","TEST1","TEST123","Test200"
"EDIT_RECIPE_COMMENT",Message,"EDIT_RECIPE_COMMENT","---","---","---","---","---","---","---","---","---","---","---","---"
"EDIT_RECIPE_CHANGE_DATE",Message,"EDIT_RECIPE_CHANGE_DATE","---","---","---","6/21/2016","4/25/2012","6/8/2016","9/3/2015","11/9/2016","11/17/2015","1/22/2016","11/16/2016","10/4/2017"
"EDIT_RECIPE_EDITOR",Message,"EDIT_RECIPE_EDITOR","MQ","MQ","MQ","admin","MQ","admin","martin","admin","admin","admin","admin","admin"
"EDIT_RECIPE_ReadOnly",Analog,"EDIT_RECIPE_ReadOnly",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_LastProcStepNo",Analog,"PCOPC_LastProcStepNo",40,40,40,4,33,3,40,3,3,3,4,251
"PCOPC_FirstProcStepNo",Analog,"PCOPC_FirstProcStepNo",1,1,1,1,1,1,1,1,1,1,1,1
"PCOPC_HtCtrlrKp",Analog,"PCOPC_HtCtrlrKp",0,0,0,2,2,0,0,0,2,0,0,0
"PCOPC_HtCtrlrTn",Analog,"PCOPC_HtCtrlrTn",0,0,0,100,100,0,0,0,100,0,0,0
"PCOPC_SubstMaxTemp",Analog,"PCOPC_SubstMaxTemp",0,0,0,250,250,0,0,0,250,0,0,0
"PCOPC_SubstTempMeasMode",Analog,"PCOPC_SubstTempMeasMode",1,1,1,2,2,1,1,1,2,1,1,1
"PCOPC_MaxTimePRE",Analog,"PCOPC_MaxTimePRE",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_MaxTimePOST",Analog,"PCOPC_MaxTimePOST",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_MaxTimePREHeatingStep",Analog,"PCOPC_MaxTimePREHeatingStep",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_RateCtrlClrRateTbl",Analog,"PCOPC_RateCtrlClrRateTbl",1,1,1,0,0,1,1,1,0,1,1,1
"PCOPC_PBS_GasStabT",Analog,"PCOPC_PBS_GasStabT",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PBS_Gas1PlasIgnFlow",Analog,"PCOPC_PBS_Gas1PlasIgnFlow",0,0,0,60,60,0,0,0,60,0,0,0
"PCOPC_PBS_Gas2PlasIgnFlow",Analog,"PCOPC_PBS_Gas2PlasIgnFlow",0,0,0,60,60,0,0,0,60,0,0,0
"PCOPC_PBS_Gas3PlasIgnFlow",Analog,"PCOPC_PBS_Gas3PlasIgnFlow",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PBS_SplyPlasIgnTime",Analog,"PCOPC_PBS_SplyPlasIgnTime",0,0,0,2,2,0,0,0,2,0,0,0
"PCOPC_PBS_SplyPlasIgnPwr",Analog,"PCOPC_PBS_SplyPlasIgnPwr",0,0,0,1000,1000,0,0,0,1000,0,0,0
"PCOPC_PBS_SplyPlasRCTime",Analog,"PCOPC_PBS_SplyPlasRCTime",0,0,0,2,2,0,0,0,2,0,0,0
"PCOPC_PBS_SplyPlasRCOffDTPlas",Analog,"PCOPC_PBS_SplyPlasRCOffDTPlas",0,0,0,2,2,0,0,0,2,0,0,0
"PCOPC_PBS_SplyPlasRCFwdPwr",Analog,"PCOPC_PBS_SplyPlasRCFwdPwr",0,0,0,500,500,0,0,0,500,0,0,0
"PCOPC_PBS_SplyMaxRefPwr",Analog,"PCOPC_PBS_SplyMaxRefPwr",0,0,0,250,250,0,0,0,250,0,0,0
"PCOPC_PBS_MBoxIgnPosC1",Analog,"PCOPC_PBS_MBoxIgnPosC1",0,0,0,65,65,0,0,0,65,0,0,0
"PCOPC_PBS_MBoxIgnPosC2",Analog,"PCOPC_PBS_MBoxIgnPosC2",0,0,0,42,42,0,0,0,42,0,0,0
"PCOPC_PBS_MBoxIgnPosC3",Analog,"PCOPC_PBS_MBoxIgnPosC3",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_LSCOnDT",Analog,"PCOPC_PVD1_LSCOnDT",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_LSCLimitFltDT",Analog,"PCOPC_PVD1_LSCLimitFltDT",0,0,0,10,10,0,0,0,10,0,0,0
"PCOPC_PVD1_LSCRegFltDT",Analog,"PCOPC_PVD1_LSCRegFltDT",0,0,0,10,10,0,0,0,10,0,0,0
"PCOPC_PVD1_LSCStartVoltFltDT",Analog,"PCOPC_PVD1_LSCStartVoltFltDT",0,0,0,10,10,0,0,0,10,0,0,0
"PCOPC_PVD1_LSCMaxPwr",Analog,"PCOPC_PVD1_LSCMaxPwr",0,0,0,15000,15000,0,0,0,15000,0,0,0
"PCOPC_PVD1_LSCMaxCurr",Analog,"PCOPC_PVD1_LSCMaxCurr",0,0,0,20,20,0,0,0,20,0,0,0
"PCOPC_PVD1_LSCMaxVolt",Analog,"PCOPC_PVD1_LSCMaxVolt",0,0,0,1200,1200,0,0,0,1200,0,0,0
"PCOPC_PVD1_LSCMaxTol",Analog,"PCOPC_PVD1_LSCMaxTol",0,0,0,1,1,0,0,0,1,0,0,0
"PCOPC_PVD1_LSCStabT",Analog,"PCOPC_PVD1_LSCStabT",0,0,0,1,1,0,0,0,1,0,0,0
"PCOPC_PVD1_LSCRegParamMode",Analog,"PCOPC_PVD1_LSCRegParamMode",0,0,0,1,1,0,0,0,1,0,0,0
"PCOPC_PVD1_LSCRegParamSwOverDT",Analog,"PCOPC_PVD1_LSCRegParamSwOverDT",0,0,0,20,20,0,0,0,20,0,0,0
"PCOPC_PVD1_LSCKp",Analog,"PCOPC_PVD1_LSCKp",0,0,0,80,80,0,0,0,80,0,0,0
"PCOPC_PVD1_LSCTn",Analog,"PCOPC_PVD1_LSCTn",0,0,0,0.025,0.025,0,0,0,0.025,0,0,0
"PCOPC_PVD1_LSCTv",Analog,"PCOPC_PVD1_LSCTv",0,0,0,10,10,0,0,0,10,0,0,0
"PCOPC_PVD1_LSCPPKp",Analog,"PCOPC_PVD1_LSCPPKp",0,0,0,10,10,0,0,0,10,0,0,0
"PCOPC_PVD1_LSCPPTn",Analog,"PCOPC_PVD1_LSCPPTn",0,0,0,0.2,0.2,0,0,0,0.2,0,0,0
"PCOPC_PVD1_LSCPPTv",Analog,"PCOPC_PVD1_LSCPPTv",0,0,0,0.1,0.1,0,0,0,0.1,0,0,0
"PCOPC_PVD1_LSCNoAvgValVolt",Analog,"PCOPC_PVD1_LSCNoAvgValVolt",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_GasStabT",Analog,"PCOPC_PVD1_GasStabT",0,0,0,2,2,0,0,0,2,0,0,0
"PCOPC_PVD1_Gas1PlasIgnFlow",Analog,"PCOPC_PVD1_Gas1PlasIgnFlow",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_Gas2PlasIgnFlow",Analog,"PCOPC_PVD1_Gas2PlasIgnFlow",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_Gas3PlasIgnFlow",Analog,"PCOPC_PVD1_Gas3PlasIgnFlow",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_Gas4PlasIgnFlow",Analog,"PCOPC_PVD1_Gas4PlasIgnFlow",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_SplyPlasIgnPwr",Analog,"PCOPC_PVD1_SplyPlasIgnPwr",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_SplyPlasRCTime",Analog,"PCOPC_PVD1_SplyPlasRCTime",0,0,0,5,5,0,0,0,5,0,0,0
"PCOPC_PVD1_SplyPlasRCOffDTPlas",Analog,"PCOPC_PVD1_SplyPlasRCOffDTPlas",0,0,0,999,999,0,0,0,999,0,0,0
"PCOPC_PVD1_SplyPlasRCPwr",Analog,"PCOPC_PVD1_SplyPlasRCPwr",0,0,0,0,0,0,0,0,0,0,0,0
"PCOPC_PVD1_SplyPlasRCVolt",Analog,"PCOPC_PVD1_SplyPlasRCVolt",0,0,0,200,200,0,0,0,200,0,0,0
